USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.4 159928  8252 ?        Ss   4月04   0:04 /sbin/init splash
root          2  0.0  0.0      0     0 ?        S    4月04   0:00 [kthreadd]
root          3  0.0  0.0      0     0 ?        I<   4月04   0:00 [rcu_gp]
root          4  0.0  0.0      0     0 ?        I<   4月04   0:00 [rcu_par_gp]
root          5  0.0  0.0      0     0 ?        I    4月04   0:00 [kworker/0:0-cgr]
root          6  0.0  0.0      0     0 ?        I<   4月04   0:00 [kworker/0:0H-kb]
root          9  0.0  0.0      0     0 ?        I<   4月04   0:00 [mm_percpu_wq]
root         10  0.0  0.0      0     0 ?        S    4月04   0:00 [ksoftirqd/0]
root         11  0.0  0.0      0     0 ?        I    4月04   0:02 [rcu_sched]
root         12  0.0  0.0      0     0 ?        S    4月04   0:00 [migration/0]
root         13  0.0  0.0      0     0 ?        S    4月04   0:00 [idle_inject/0]
root         14  0.0  0.0      0     0 ?        S    4月04   0:00 [cpuhp/0]
root         15  0.0  0.0      0     0 ?        S    4月04   0:00 [kdevtmpfs]
root         16  0.0  0.0      0     0 ?        I<   4月04   0:00 [netns]
root         17  0.0  0.0      0     0 ?        S    4月04   0:00 [rcu_tasks_kthre]
root         18  0.0  0.0      0     0 ?        S    4月04   0:00 [kauditd]
root         19  0.0  0.0      0     0 ?        S    4月04   0:00 [khungtaskd]
root         20  0.0  0.0      0     0 ?        S    4月04   0:00 [oom_reaper]
root         21  0.0  0.0      0     0 ?        I<   4月04   0:00 [writeback]
root         22  0.0  0.0      0     0 ?        S    4月04   0:00 [kcompactd0]
root         23  0.0  0.0      0     0 ?        SN   4月04   0:00 [ksmd]
root         24  0.0  0.0      0     0 ?        SN   4月04   0:00 [khugepaged]
root         70  0.0  0.0      0     0 ?        I<   4月04   0:00 [kintegrityd]
root         71  0.0  0.0      0     0 ?        I<   4月04   0:00 [kblockd]
root         72  0.0  0.0      0     0 ?        I<   4月04   0:00 [blkcg_punt_bio]
root         73  0.0  0.0      0     0 ?        I<   4月04   0:00 [tpm_dev_wq]
root         74  0.0  0.0      0     0 ?        I<   4月04   0:00 [ata_sff]
root         75  0.0  0.0      0     0 ?        I<   4月04   0:00 [md]
root         76  0.0  0.0      0     0 ?        I<   4月04   0:00 [edac-poller]
root         77  0.0  0.0      0     0 ?        I<   4月04   0:00 [devfreq_wq]
root         78  0.0  0.0      0     0 ?        S    4月04   0:00 [watchdogd]
root         81  0.0  0.0      0     0 ?        S    4月04   0:00 [kswapd0]
root         82  0.0  0.0      0     0 ?        S    4月04   0:00 [ecryptfs-kthrea]
root         84  0.0  0.0      0     0 ?        I<   4月04   0:00 [kthrotld]
root         85  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/24-pciehp]
root         86  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/25-pciehp]
root         87  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/26-pciehp]
root         88  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/27-pciehp]
root         89  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/28-pciehp]
root         90  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/29-pciehp]
root         91  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/30-pciehp]
root         92  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/31-pciehp]
root         93  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/32-pciehp]
root         94  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/33-pciehp]
root         95  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/34-pciehp]
root         96  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/35-pciehp]
root         97  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/36-pciehp]
root         98  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/37-pciehp]
root         99  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/38-pciehp]
root        100  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/39-pciehp]
root        101  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/40-pciehp]
root        102  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/41-pciehp]
root        103  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/42-pciehp]
root        104  0.0  0.0      0     0 ?        S    4月04   0:00 [irq/43-pciehp]
